"id_consum","identifier","id_facture","ClientName","Ville","periodeDebut","periodeFin","Conso","PrixUnitaire","Taxes","StatutPaiement","penalite","TypeClient","NumComp","TypeComp","email","NumTel","MontFact","MonTotal"
1,"970462229",C00001,Robert Stanley,Bouaké,"2023-07-16","2023-08-19",191,280,10696.0, Non payé,1000,Commercial,"141590",Compteur normal,lori50@yahoo.com,"46181409",64176.0,65176.0
2,"921552364",C00002,Michael Koch,Bouaké,"2024-07-31","2025-02-12",18,280,1008.0, Non payé,1000,Domestique,"432889",Compteur à 4,christopherpalmer@taylor.biz,"27079537",6048.0,7048.0
3,"320889550",C00003,Ruben White,San Pedro,"2023-03-30","2025-03-02",194,250,9700.0, Non payé,300,Industriel,"874645",Compteur normal,victoriaromero@moreno.net,"38973035",58200.0,58500.0
4,"871515151",C00004,Charles Hickman,Bouaké,"2024-07-13","2024-08-03",133,280,7448.0, payé,0,Domestique,"730591",Compteur à 4,zevans@stephens.com,"53162679",44688.0,44688.0
5,"475208247",C00005,Kenneth Smith,Korhogo,"2023-03-20","2025-01-12",36,280,2016.0, Non payé,500,Domestique,"807564",Compteur à 4,taravasquez@brown-martinez.biz,"35454415",12096.0,12596.0
6,"167706873",C00006,Alexander Phelps,Bouaké,"2023-05-09","2023-11-17",60,300,3600.0, Non payé,1000,Industriel,"667643",Compteur à 4,kristen30@walker.com,"20421141",21600.0,22600.0
7,"917662181",C00007,Henry Caldwell,Abidjan,"2024-12-02","2025-04-14",141,250,7050.0, Non payé,300,Commercial,"873840",Compteur normal,alexandraodom@warren.info,"33019965",42300.0,42600.0
8,"871783783",C00008,Heather Mitchell,Yamoussoukro,"2023-04-21","2023-10-02",160,280,8960.0, Non payé,1000,Industriel,"100127",Compteur normal,zacharywilliams@hotmail.com,"67596261",53760.0,54760.0
9,"160539010",C00009,Shawn Perez,Yamoussoukro,"2024-08-07","2024-11-29",82,250,4100.0, payé,0,Domestique,"756914",Compteur à 4,masonweaver@davis-lee.net,"27809959",24600.0,24600.0
10,"460169392",C00010,Tammy Blake,Yamoussoukro,"2024-08-25","2024-12-19",95,300,5700.0, payé,0,Commercial,"994549",Compteur à 4,debrafields@smith.com,"37075997",34200.0,34200.0
11,"223785862",C00011,Richard Logan,Yamoussoukro,"2024-03-09","2024-07-06",169,280,9464.0, Non payé,500,Commercial,"926966",Compteur normal,rebeccadavis@osborne.biz,"80422225",56784.0,57284.0
12,"409049695",C00012,Kim Bennett,Korhogo,"2024-08-28","2025-02-12",119,300,7140.0, Non payé,1000,Commercial,"168751",Compteur normal,tammyshaw@smith.com,"43657397",42840.0,43840.0
13,"781832715",C00013,Deborah Robinson,Korhogo,"2024-08-04","2025-04-25",142,280,7952.0, Non payé,1000,Commercial,"752744",Compteur à 4,henry74@johnson-hayden.biz,"90801249",47712.0,48712.0
14,"772021770",C00014,Stacy Ellis,Abidjan,"2024-12-01","2025-02-15",98,300,5880.0, Non payé,300,Industriel,"152817",Compteur normal,james37@pena.com,"24805398",35280.0,35580.0
15,"330799312",C00015,Jill Porter,Yamoussoukro,"2025-01-15","2025-02-05",50,300,3000.0, Non payé,1000,Domestique,"861317",Compteur à 4,smithjason@hotmail.com,"91600217",18000.0,19000.0
16,"538430387",C00016,Emily Carr,Korhogo,"2023-11-23","2024-05-02",170,300,10200.0, Non payé,300,Industriel,"926490",Compteur normal,henry60@hotmail.com,"35046196",61200.0,61500.0
17,"427358800",C00017,Tina Knapp,Bouaké,"2024-10-17","2024-11-21",189,300,11340.0, Non payé,500,Commercial,"789574",Compteur à 4,aschneider@gmail.com,"84184812",68040.0,68540.0
